DesignId,PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical,Result,Time,TimeTaken
D1,PMath_Addition,1,Verify_Math_Addition,xMath,xAdd,12.0;23.0,35.0,34.0,n,Fail,20:01:47,0.0007028579711914062
D2,PMath_Addition,1,Verify_Math_Addition,xMath,xAdd,200.0;300.0,500.0,500.0,n,Pass,20:01:47,0.0006330013275146484
D1,PMath_Multiplication,1,Verify_Math_Multiplication,xMath,xMultiply,12.0;23.0,276.0,276,n,Pass,20:01:47,0.0006105899810791016
D1,PMath_Power,1,Verify_Math_Multiplication,xMath,xMultiply,12.0;23.0,276.0,276,n,Pass,20:01:47,0.0006225109100341797
D1,PMath_Division,1,Verify_Math_Division,xMath,xDiv,12.0;23.0,0.5217391304347826,0.521739,n,Pass,20:01:47,0.0004975795745849609
D1,PMath_Area,1,Square radius,xMath,xMultiply,12.0;12.0,144.0,nan,n,Pass,20:01:47,0.0004980564117431641
D1,PMath_Area,2,Multiple res with pi,xMath,xMultiply,vTemp;3.14,Error in xMultiply: Non-numeric input: ['vTemp'; '3.14'] [Link to PMath_Area_D1_2.txt],452.16,n,Fail,20:01:47,0.0005056858062744141
D2,PMath_Area,1,Square radius,xMath,xMultiply,200.0;200.0,40000.0,nan,n,Pass,20:01:47,0.0006194114685058594
D2,PMath_Area,2,Multiple res with pi,xMath,xMultiply,vTemp;3.14,Error in xMultiply: Non-numeric input: ['vTemp'; '3.14'] [Link to PMath_Area_D1_2.txt],12845.0,,Fail,20:01:47,0.0005056858062744141
D1,PMath_SquareArea,1,Multiply side with side,xMath,xMultiply,12.0;12.0,144.0,144.0,n,Pass,20:01:47,0.0005648136138916016
D2,PMath_SquareArea,1,Multiply side with side,xMath,xMultiply,200.0;200.0,40000.0,40000.0,n,Pass,20:01:47,0.0012192726135253906
D1,PMath_TriangleArea,1,Multiply base and height,xMath,xMultiply,10.0;5.0,50.0,nan,n,Pass,20:01:47,0.0007352828979492188
D1,PMath_TriangleArea,2,Divide by 2,xMath,xDiv,vTemp;2.0,Error in xDiv: Non-numeric input: ['vTemp'; '2.0'] [Link to PMath_TriangleArea_D1_2.txt],25.0,n,Fail,20:01:47,0.0005714893341064453
D2,PMath_TriangleArea,1,Multiply base and height,xMath,xMultiply,5.0;10.0,50.0,nan,n,Pass,20:01:47,0.0009305477142333984
D2,PMath_TriangleArea,2,Divide by 2,xMath,xDiv,vTemp;2.0,Error in xDiv: Non-numeric input: ['vTemp'; '2.0'] [Link to PMath_TriangleArea_D1_2.txt],25.0,,Fail,20:01:47,0.0005714893341064453
D1,PMath_Average,1,Add three numbers,xMath,xAdd,12.0;23.0;15.0,50.0,nan,n,Pass,20:01:47,0.0006146430969238281
D1,PMath_Average,2,Divide by 3,xMath,xDiv,40.0;3.0,13.333333333333334,13.33,n,Fail,20:01:47,0.0009000301361083984
D2,PMath_Average,1,Add three numbers,xMath,xAdd,200.0;300.0;30.0,530.0,nan,n,Pass,20:01:47,0.0006051063537597656
D2,PMath_Average,2,Divide by 3,xMath,xDiv,60.0;3.0,20.0,20.0,n,Pass,20:01:47,0.0005426406860351562
D3,PMath_Average,1,Add three numbers,xMath,xAdd,5.0;10.0;12.0,27.0,nan,n,Pass,20:01:47,0.0008306503295898438
D3,PMath_Average,2,Divide by 3,xMath,xDiv,nan;3.0,nan,nan,n,Pass,20:01:48,0.00080108642578125
D1,PMath_SimpleInterest,1,Multiply principal rate and time,xMath,xMultiply,1000.0;5.0;2.0,10000.0,nan,n,Pass,20:01:47,0.0007781982421875
D1,PMath_SimpleInterest,2,Divide by 100,xMath,xDiv,vTemp;100.0,Error in xDiv: Non-numeric input: ['vTemp'; '100.0'] [Link to PMath_SimpleInterest_D1_2.txt],100.0,n,Fail,20:01:47,0.0006532669067382812
D2,PMath_SimpleInterest,1,Multiply principal rate and time,xMath,xMultiply,2000.0;10.0;3.0,60000.0,nan,n,Pass,20:01:47,0.0005280971527099609
D2,PMath_SimpleInterest,2,Divide by 100,xMath,xDiv,vTemp;100.0,Error in xDiv: Non-numeric input: ['vTemp'; '100.0'] [Link to PMath_SimpleInterest_D1_2.txt],600.0,,Fail,20:01:48,0.0006532669067382812
D3,PMath_SimpleInterest,1,Multiply principal rate and time,xMath,xMultiply,1500.0;6.0;2.5,22500.0,nan,n,Pass,20:01:48,0.0006365776062011719
D3,PMath_SimpleInterest,2,Divide by 100,xMath,xDiv,vTemp;100.0,Error in xDiv: Non-numeric input: ['vTemp'; '100.0'] [Link to PMath_SimpleInterest_D1_2.txt],225.0,,Fail,20:01:48,0.0006532669067382812
D1,PMath_CylinderVolume,1,Square radius,xMath,xMultiply,5.0;5.0,25.0,nan,n,Pass,20:01:47,0.0006194114685058594
D1,PMath_CylinderVolume,2,Multiply with pi,xMath,xMultiply,vTempRadius;3.14,Error in xMultiply: Non-numeric input: ['vTempRadius'; '3.14'] [Link to PMath_CylinderVolume_D1_2.txt],nan,n,Fail,20:01:47,0.0006220340728759766
D1,PMath_CylinderVolume,3,Multiply with height,xMath,xMultiply,vTempArea;5.0,Error in xMultiply: Non-numeric input: ['vTempArea'; '5.0'] [Link to PMath_CylinderVolume_D1_3.txt],785.0,n,Fail,20:01:48,0.0006809234619140625
